label	text_a
厦门大学	厦门大学真的好美的说，不愧是中国最美的大学之一。
天子阁	天子阁位于贺龙公园东200米处的台地上，记得好像只有四层，不过似乎游客都不怎么感兴趣，里面游人很少，都跑外面乘着凉还有卖饰品的小店里去啦，只能说这个景点人流量被做生意的拉走有点可惜，整座阁楼还是挺壮观的，感觉不输黄鹤楼。
世界花卉大观园	世界花卉大观园首先交通很方便，就在南四环边上，孩子的学校曾组织去过，她说不错还想在去一次，所以这次带父母孩子去了离家不算太远，但一直没能进去过的世界花卉大观园，整体感觉不错，环境优美，风景宜人，孩子尤其喜欢那里的游乐场，我很喜欢里边的温室大棚里的环境，如果冬天去，一定很棒！。
织田真子	织田真子（织田真子、1983年12月17日 - ）は、东京都出身AV女优。
哈尔滨地铁	哈尔滨地铁（Harbin Metro）是中国黑龙江省哈尔滨市的城市轨道交通系统，是中国首个高寒地铁系统。
鼎湖山	鼎湖山  可谓是  肇庆  的一张名片，天然的氧吧，让城市人可以在登高的同时呼吸新鲜的空气噢，半个小时的车程就到了，跟朋友们一起来不错的选择噢，一路上山有不少瀑布，还有寺庙供奉。
头发	头发隶属于卫斯理科幻小说系列，作者倪匡创作于1978年。
洪崖洞	晚上在洪崖洞异国美食风情街找家小店坐下，感受江风，看两江的夜景，很享受。
张宁	张宁，女，汉族，籍贯山东，中央电视台中英文节目主持人。
东郊记忆	东郊记忆，坐落于 成都 红光厂旧址的文化产业园，高大的厂房建筑，各种机械设备，随处可见的口号标语，堪称工业文明的现代遗址，值得一看的地方。
刘永辉	刘永辉，明星经纪人，2004年3月，刘永辉离开亚华，后来加盟星美，于2013年暑假和张敏结婚。
乌布	每晚在皇宫的院内会有传统舞蹈表演，是夜游乌布的一个好去处。
蜕变	《蜕变》是由高群书执导的作品，王志飞参加演出。
环境工	环境工程（Environmental Engineering）是研究和从事防治环境污染和提高环境质量的科学技术。
素贴山	骑摩托上素贴山是最好的选择，一路好风景尽显眼底，还能随时停车驻足观赏。
罪恶部队	“罪恶部队”一直孤军奋战，影片多少架空了这种牺牲精神，割裂了环境，抵抗运动的意义变得单薄。
电影	志明与春娇是一部好看的文艺电影，完美嫁衣是一部好看的商业电影。
芙蓉镇	这里曾经拍过电视剧芙蓉镇，主演是年轻时 的刘晓庆，此镇最有名的小吃是米豆腐，味道很不错，样子也比较奇怪，呵呵。
牧师	牧师的所有技能施放都需要消耗法力值，由于治疗者同时拥有最强的单体与最强的大范围治疗能力，所以就成为整个游戏中最不可或缺的职业。
陈旭	陈旭律师，男，1959年8月4日出生，汉族，群众，大学本科学历，北京人。
双廊	双廊  是洱海边上一个狭长形的镇子，主街很窄，错车都得小心翼翼，白天不允许私家车驶入，晚上从镇头堵到镇尾，到处都在修房子，最无可忍受的就是大晚上的街上还有无数拖拉机轰轰驶过，以及不时传来卸载钢筋等建材的声音，让人根本无法入睡，当地政府也完全不管，即使住着无敌海景房，也完全没有安心度假的感觉，到处脏乱差，建议两年之内不要想着来这里。
吴铭火锅	吴铭火锅，真的可以！喜欢这个口味！菜品的量---就是足！特别是肥牛，我的最爱！朋友说，到这鹅肠必吃！吃了后，我还要再来一盘！服务也有特色:居然给每个客人发了个吴铭特有的围裙！想的就是周到！环境我也喜欢，别具风格，结合了江南水乡的优雅和川西粗犷的特色！喜欢！还要来！喜欢！。
王军	王军，男，汉族，1965年7月出生，山东烟台人，1986年8月参加工作，1986年6月加入中国共产党，研究生学历。
唐山	我是唐山的孩子 市区里面南湖公园是一个很不错的地方2016年还将承办园博会 在抗震遗址上建起来的 现在很美啦 县区有名的包括清东陵 还有一些不出名的小野山 不过景色都不错 门票价格也便宜 还有著名的中华老字号：鸿宴肘子哟 值得期待。
寂照庵	寂照庵，有一千多年的历史，看得出以前是很辉煌的，现在却是世外桃源，里面还有尼姑生活和居住，还有很多修行的在这里过着最平淡的生活，她们是那样的淡定和满足，看上去是那样的慈眉善目，我们在这里吃了斋饭，一人20元，很好吃，然后慢慢地下山。
安室爱美惠	《安室爱美惠》是陶晶莹、谢祖武主演的剧情片。
刘斌	刘斌，1964年9月生，中共党员，汉族，拉萨晚报社总编辑。
贝拉米	贝拉米，漫画《海贼王》的人物之一。
山楂茶	山楂茶是一款养生茶疗。
国家大剧院	来了北京自然是要去国家大剧院的，一流的视听享受，音乐会或者话剧，都是很好的选择。
天池山	风景不错的去处，爬山最好穿平底鞋，有些台阶和陡坡不适宜高跟鞋行走，从 天池山 入口进去，沿途风景亭台较多 ，我们去那日下雨，总会有亭子可以避雨，登至莲花山后往下走就是花山，最后再原路返回回。
土林	酒足饭饱后，直奔大同土林。
八卦阵学	八卦阵学名为九宫八卦阵，是一种古代的汉族军事阵法，相传为诸葛亮发明。
中山路	中山路上到了晚上，会有很多卖小吃的摊位推出来，比如土笋冻，很值得一试。
陈家祠	老婆表扬本次广州之旅，陈家祠是安排最好，最值得去看的景点，出地铁站就是祠堂广场和大门，第一次看到那么多精美的雕塑在房顶上，被震撼了一下。
秦怡	秦怡，1922年2月4日出生于中国上海市，祖籍江苏省高邮市，中国影视、话剧女演员，表演艺术家。
片假名	片假名（片仮名  カタカナ  katakana），是日文的一种，与平假名合称“假名”。
杀人狂魔	一位精神错乱人格分裂的屌丝以收集女神头皮为癖，当他遇到真女神时，骨子里的文艺范如碧波般开始荡漾……导演用恐怖片领域极端少有的主观视角镜头让我们窥探了这位杀人狂魔可悲的内心，摄影和配乐赞。
寿县清真寺	寿县清真寺位于古城城南，历史悠久，始建于明朝天启年间。
一场风花雪月的事	《一场风花雪月的事》是1997年上映的大陆电视剧，由赵宝刚执导，徐静蕾、刘汉强等主演。
超强台风天兔	超强台风天兔（英语：Severe  Tropical  Storm  Usagi，国际编号：1319。
锁精环	锁精环是男女房事情趣用品。
五虎上将	五虎上将，不做特殊说明，一般是指汉末三国时期，跟随刘备建立蜀汉政权的五位将军。
雪铁龙	雪铁龙由安德烈·雪铁龙创立，1878年在法国巴黎出生的时候，他的家人无法预见在几十年后，他所开创的雪铁龙汽车品牌使家族的名字家喻户晓。
AP	在魔兽世界中,AP是指攻击强度 attack power.在英雄联盟游戏中 AP是指英雄的法术伤害值，也称AP伤害。
师父	总得来说，懂的人觉得《师父》太他妈完美了，不懂得人看不懂不理解，它更像一个类型片。
谏山创	谏山创，1986年8月29日生于日本大分県立日田市大山町。
马克·扎克伯格	小马哥是马克·扎克伯格的别名，他是美国facebook创始人。
桃华月惮	Studio DEEN制作的电视动画《桃华月惮》改编自ORBIT出品的恋爱冒险游戏《桃华月惮 ～无颜之月Ⅱ～》，但由于在情节上存在很大的差别，基本属于原创的故事。
小时代1	看了小时代1，感觉没那么烂，虽然不好看，但是3分确实有点低了，4到5.5分差不多。
霍元甲	《霍元甲》是由方文山作词，洪敬尧编曲，周杰伦作曲并演唱的一首歌曲。
直系军阀	直系军阀是民国军阀中北洋军阀派系之一，直系军阀领袖大多出身直隶省，在许多政治理念上存在共鸣，故称为“直系”，袁世凯死后，北洋军阀分裂出以直隶（今河北）人冯国璋为首领的一派。
朱玲玲	朱玲玲，女，1962年出生，主任医师，扬州大学医学院副教授，江苏省苏北人民医院儿科主任、新生儿科主任，扬州大学医学院儿科教研室主任，江苏省医学会儿科专业委员会委员，江苏省医院协会儿童医院管理分会委员会委员，扬州市医学会儿科专业委员会副主任委员，扬州市医学会医疗事故鉴定专家库成员。
黄金海岸	但是 黄金海岸 的天气有点阴，我心里感觉不爽。
桐柏英雄	《桐柏英雄》是一部由中央电视台、上海电影集团有限公司、浙江天光地影影视制作有限公司、欢瑞世纪影视传媒股份有限公司联合出品的中国解放战争题材电视剧，改编自同名小说《桐柏英雄》。
赵敏	赵敏，金庸小说《倚天屠龙记》的第一女主角。
薄荷荼靡梨花白	薄荷荼靡梨花白是一部已完结的小说，故事内容为女主角囫囵吞冰淇淋是被男友放下的求婚戒指卡的灵魂出壳，还魂到香泽国左相家中，得名云想容。
人型电脑天使心	《人型电脑天使心》于2000年9月至2002年10月连载于日本讲谈社《周刊Young  Magazine》。
何超琼	何超琼（Pansy  Ho  Chiu-king，1962年8月26日-），美高梅中国主席、信德集团董事总经理。
大东海	大东海  是  三亚  的一个度假区，海水干净透彻，沙滩平缓白皙，这里的沙滩海边是对外开放的，所以游客特别多，有制定免费可以游泳的区域，还有很多需要付费的水上娱乐项目比如摩托艇、香蕉船等，在沙滩上面还有海鲜烧烤等美食，但价格不便宜。
北京鑫宝源影视投资有限公司	北京鑫宝源影视投资有限公司是一家集拍摄、制作、发行、演员经纪等业务为一体的影视公司，具备国家电视剧制作甲种许可资质，具有雄厚的资金、强大的创作力量以及广泛的业务关系。
武神赵子龙	《武神赵子龙》是程力栋、国建勇、袁英明执导的古装剧，由林更新、林允儿、金桢勋、贾青、高以翔、郭冬冬、孟子义、古力娜扎、严屹宽 、赵韩樱子、范雨林、邹兆龙、孙骁骁领衔主演。
核裂变	核裂变，又称核分裂，是指由重的原子核，主要是指铀核或钚核，分裂成两个或多个质量较小的原子的一种核反应形式。
青岛民俗馆	青岛民俗馆共分“序厅”、“民俗风情”、“港口风情”和“城市风情”四大展区，向世人展示了青岛的特色民俗文化。
曝光	《曝光》井村淳  著福田健太郎，信达雅翻译工作室合作编写。
心迷宫	宝琴也很好，可能是台词，或者声线，宝琴放在荧幕上绝对算不上美女，可是她的声音在《心迷宫》这个太过真实的世界里面有一种奇妙的说服力，让你觉得她就是红颜祸水。
第六感	第六感，游戏王卡。
R	R是一种用于统计计算的编程语言，由奥克兰大学的Ross  Ihaka  和  Robert  Gentleman发明。
奈曼沙漠	奈曼沙漠虽然不是太大 但是也很好看 周边有流水 沙漠上有些许的草木 我去的时候因为前一天刚刚下过雨 所以没有玩儿滑沙 那边有很多越野爱好者开着爱车去冒险 看起来6、70度的陡坡就直直的开下去了 看得人是胆战心惊的 我们是早上到的 中午在那边就自己铺了地席野餐 还是别有一番味道的 去沙漠要记得带苹果 可以补充体力的 在沙漠里 觉得天特别蓝。
安魂曲	《安魂曲》是由汉诺赫·列文编导的话剧，约瑟夫·卡尔蒙、扎哈丽拉·哈丽法伊、伊茨哈克·哈扎吉亚、芙萝伦斯·布鲁赫、斯佳丽特·福克斯等参加演出。
第一次	电影《第一次》是由韩延自编自导，Angelababy、赵又廷领衔主演的爱情电影。
超胆侠	超胆侠（Daredevil）是美国漫威漫画旗下超级英雄，由编剧斯坦·李、画家比尔·埃弗里特联手创作，初次登场于《超胆侠》第1辑第1期（1964年4月），原名马修·迈克尔·默多克（Matthew Michael Murdock），幼时因意外双目失明，却获得了雷达般的听觉和远超于常人的触觉，在加上后天学习的棍法和格斗术。
纵横捭阖	纵横捭阖（zòng  héng  bǎi  hé）：“纵横”即竖和横；“捭阖”是开和合，字面上理解成“自如地横竖开合”（达到操纵控制对方的目的）。
南宁万达商业广场	南宁万达商业广场是由大连万达集团开发建设，地处南宁市铂金商圈——朝阳商业圈。
松花江	《松花江》是由刘家昌作词，凤飞飞演唱的一首歌。
碧海蓝天	《碧海蓝天》是一部法国爱情电影，由吕克·贝松执导，让-马克·巴尔、让·雷诺主演，于1988年5月11日法国上映。
初恋	初恋，顾名思义是说，人的爱情萌发的最初部分。
叶伟信	叶伟信，1963年10月23日出生于中国香港。
有机化学反应条件	有机化学反应条件 室温。
白河峡谷	"白河峡谷确实是一个不错的地方，我每年都会去哪里玩几次，烧烤、钓鱼、漂流都可以，最漂亮的就是拍摄电影  &lt;让子弹飞&gt;的京北一漂，以前去还能看到小火车，现在在京北一漂码头放着"。
王霏霏	王霏霏（Fei），1987年4月27日出生于海南省儋州市，歌手、主持人、演员。
锦里	锦里进去就是小吃一条街，著名的三大炮、张飞牛肉都在这边。
杜甫草堂	杜甫草堂的人可真多啊，看手机才发现今天是星期六，好多大人带着小孩来玩。
荆楚理工学院	荆楚理工学院（Jingchu University of Technology）位于素有“荆楚门户”之称的历史文化名城湖北省荆门市，是一所经教育部批准成立的省属本科高等院校。
海上公园	海上公园带给我一种罗曼蒂克的感觉，就好像优雅的王子与美丽的公主偶然邂逅的地方。
晋	晋是山西省的简称。
热情似火	《热情似火》是由权七仁执导，金敏喜，李美淑，安昭熙主演的韩国喜剧电影，该片于2008年1月17日在韩国上映。
双廊	我觉得在双廊有两件事我很喜欢，一是到各家客栈转悠，因为每家的风格都不一样；二是跟各个摊主砍价，挑战低价购买义乌小商品。
八字奶	八字奶，指的是女性的乳房两乳外撇。
大理	大理的旅游市场相对混乱，路上各种拉客的会尾随你，一路问你要去哪里玩，所以要去的话一定要提前安排好行程，或者是找自己住的客栈老板或者是去过的朋友帮忙推荐。
刘胡兰	《刘胡兰》拍摄于1996年，由山西电影制片厂出品，是沈耀庭执导，池华琼主演的战争剧情片。
小三	小三，是通过互联网流行起来的一个词，是对第三者的蔑称。
战地3	《战地3》（英文名：Battlefield 3）是一款由EA DICE工作室（EA Digital Illusions CE）开发制作、EA（美国艺电）出版发行的第一人称射击游戏。
虐待狂	虐待狂指虐待和折磨性对象，使之遭受痛苦和羞辱，在施虐活动中激起自己的性兴奋，得到性满足。
人体润滑剂	人体润滑剂是有别于机械使用，特别为人体设计的润滑剂，具有广泛的适用性和较高的安全性。
星图	新片《星图》少不了三十多年如一日的神经质、神秘感、幻象，歇斯底里和冷漠讽刺，好莱坞潜规则管窥，影后朱丽安·摩尔太拼，3P又后入。
银滩	晚上来银滩别有风情。
资料员	资料员，是负责工程项目资料的编制、收集、整理、档案管理等内业管理工作的技术人员，资料员需要通过国家相关部门组织的岗位资格考试，取得相应的证书后方能担任相关岗位的工作。
何园	何园和个园是扬州最著名的两个园林了，南方是盛产园林的，来了一定要感受一下。
华中师范大学	华中师范大学和武汉大学相邻，名气虽没有武大响，但这里确实也是个不错的地方！师大也是武汉最美的大学校园之一。
OBD	OBD是英文On-Board  Diagnostic的缩写，中文翻译为“车载诊断系统”。
铁娘子	《铁娘子》是宋存寿执导的武侠片，由韩湘琴、白鹰  、苗天主演。
秋	《秋》是孟杨演唱的流行歌曲，收录在5D文化于2010年5月19日发行的《男人一生三朵花》专辑中。
道顿堀	逛完黑门市场往被走就来到了知名的道顿堀，蟹道乐的大螃蟹标志，堂吃比较贵，不过外卖的烤蟹脚价格还挺亲民，味道也很不错。
内博贵	内博贵（うち  ひろき）1986年生，大阪羽曳野市出身。
军舰岛	推荐军舰岛的拖伞等水上项目，我们本来打算去 天宁岛 一起玩的，结果发现天宁岛没有这些娱乐项目，比较遗憾。
给我一个理由忘记	《给我一个理由忘记》是台湾歌手黄丽玲（A-Lin）演唱的歌曲，由邬裕康填词，游政豪谱曲，为A-Lin的第四张专辑《寂寞不痛》的首波主打歌。
艾丽娅	艾丽娅，1965年12月1日生于内蒙古，中国电影演员。
金源新燕莎MALL	两年前去过几次，因为到那边去办事情，顺路去逛了传说中的金源新燕莎MALL，那会儿感觉很空旷，人很少，导购都很安静的作自己的事情，记得同事看上一件白领的礼服，4000多，印象太深刻了，确实很好看，好像没有买，呵呵。
BusyBox	BusyBox 是一个集成了一百多个最常用linux命令和工具的软件。
龙脊梯田	龙脊梯田有“世界梯田之冠”的美称。
小野丽莎	小野丽莎2006年专辑《美丽时光》中歌曲。
最强大脑第三季	《最强大脑第三季》是江苏卫视集结优秀的脑力高手及脑神经专家，推出的国内首档大型科学类真人秀电视节目，源自德国综艺《Super Brain》。
李平	李平（1916－1942），福建省南安县，菲律宾归国华侨。
乘风破浪	乘风破浪是由黄志强连伟健主演，讲述是一个怀有参加代表国家参加风帆大赛愿望的有志青年到一家风帆俱乐部打工，想借此机会得到更多的练习机会。
水洞沟旅游区	水洞沟旅游区挺不错，博物馆里面环廊卫生干净，动感体验区真实和让人耳目一新，体验风雨雷电来临时的震撼场景。
西湖	去西湖的那天，适逢假日，人那个多啊，那个挤啊。
斐济博物馆	因为  斐济  除了海滨度假，文化类旅游资源比较贫乏，所以  斐济博物馆  还算一个不错的选择。
歌舞青春：中国	除了剧情雷了点，除了演员没号召力，除了老百姓不喜欢，制作挺精良的，张靓颖和林俊杰合唱《我飞故我在》也是流行一时的金曲，但这丝毫不能避免《歌舞青春：中国》的惨败。
林坑农家乐	林坑农家乐隔音不太好，溪流的声音会比较吵。
辽宁工业大学	辽宁工业大学(Liaoning University of Technology)始建于1951年，坐落于锦州市。
专辑	这是著名流行歌手言承旭于2004年8月20日发行的一张专辑的名字，其中专辑包含了10首歌曲。
关菊英	关菊英，1958年5月3日出生，香港无线电视旗下经理人合约艺员，星娱乐旗下歌手，是70、80年代香港当红一线女歌手。
迪士尼乐园	因为香港迪士尼乐园是面积最小的，所以去之前保留至谨慎地乐观。
外白渡桥	外白渡桥，是中国的第一座全钢结构铆接桥梁和仅存的不等高桁架结构桥，同时也是自1856年以来在苏州河河口附近同样位置落成的第四座桥梁。
刘一帆	刘一帆，1975年10月28日出生于台湾，前费尔蒙和平饭店行政总厨，2012年东方卫视人气节目《顶级厨师》美食评审。
方圆大厦	在2000年威尼斯世界建筑设计展览会上，方圆大厦成为亚洲唯一获奖的作品，获得“世界上最具创意性和革命性的完美建筑”的美誉。
注册咨询工程师	注册咨询工程师（投资）是指通过全国统一考试，取得《中华人民共和国注册咨询工程师（投资）执业资格证书》，经注册登记后，在经济建设中从事工程咨询业务的专业技术人员。
金花茶公园	整个金花茶公园就是个街心公园，免票，都是遛弯的人，有些茶花开的不错。
孙佳奇	孙佳奇，1992年2月10日出生于黑龙江，中国内地女演员，毕业于中央戏剧学院表演系。
浮云	《浮云》，是一部长篇小说。
钟楼	然而钟楼边上的广场是真的很值得逗留。
豪斯登堡宫殿	走进豪斯登堡内的豪斯登堡宫殿，宫殿中央有 希腊 十字形圆顶大壁画，场面恢弘壮观。
蜈支洲岛	但是蜈支洲岛风较大，外套很需要准备哦！。
一骑当千	《一骑当千》游戏是由WEBZEN 旗下I-Studio 小组独立开发，游戏为3D人物搭配2D场景，以中国后汉末期到三国的历史作为游戏背景的动作策略类网络游戏。
我爱你	《我爱你》为香港知名歌手张学友在电影《东成西就》中的经典片段，由张学友扮演的洪七公用一曲《我爱你》对王祖贤表白。
马赛	马赛，1989年出生，足球运动员，司职前锋，现效力于中乙大理旅游锐龙队。
白狼	白狼，白”姓的氏族部落。
陶笛	陶笛（笛子Ocarina），漫画家，插图作者，游戏从业者。
命中注定	《命中注定》：根治女人心口不一的最好办法就是“骗”她。
夜宴	《夜宴》是张敬轩演唱的歌曲，并被收录于专辑《Urban Emotions》之中。
线性代数	《线性代数》是2009年中国铁道出版社出版图书。
李俊	李俊，男，  1964  年  8  月生，教授，硕士生导师，  广西科技创新计划金源单位―广西师范大学天然产物研究与开发实验室学术带头人之一  。
SAP公司	SAP公司成立于1972年，总部位于德国沃尔多夫市，是全球最大的企业管理和协同化商务解决方案供应商，世界第三大的独立软件供应商，全球第二大云公司，在全球有 120多个国家的超过172,000家用户正在运行SAP软件。
琼库什台	离特克斯县城比较远，交通不方便，正是由于交通不便，去琼库什台的人不是很多，去的时候还没有开发成景区，没有门票，住在当地牧民家里，主要消费就是吃住，住宿人均50，吃饭很贵，四个人早餐吃了一盘皮辣红、凉拌黄瓜、一个馕、一壶奶茶80块！。
潜艇	潜艇不但可以用来输送兵力，更能够进行远距离攻击，从而可以在任何时间、任何地点为保卫者提供强大的水下支援。
李纳	李纳，云南路南人。
南山竹海	竹海的确不错，大门票不贵，但是不得不说里面的交通费，几条线路，想走还走不了，必须依靠地面交通，所有的加起来比 九寨沟 还贵！起码别的景区还可以选，出来玩本来就是想慢慢遛达一下，但是 南山竹海 让你不得不强制消费！时间大都在排队上了。
武隆	武隆景点这么多，不知道该评价哪个。
芦墅公园	芦墅公园不大，但是麻雀虽小，五脏俱全啊！在芦墅公园里有操春亭、平台假山、曲桥等。
魍魉	魍魉是游戏《天下贰》中的门派，特点迅捷的攻击速度，高超的回避力。
精灵梦叶罗丽	《精灵梦叶罗丽》又名《夜萝莉》、《叶罗丽精灵梦》，是国产大型3D动画巨制。
一汽-大众汽车有限公司	一汽-大众汽车有限公司（简称一汽-大众）于1991年2月6日成立，是由中国第一汽车集团公司和德国大众汽车股份公司、奥迪汽车股份公司及大众汽车（中国）投资有限公司合资经营的大型乘用车生产企业，是我国第一个按经济规模起步建设的现代化乘用车工业基地。
李杰	李杰（1979.08.25-），著名射击运动员，陕西籍。
青海湖	也许是天气不好，也许是停留不长，没有见到美美的青海湖~听说，如果天蓝水美，才是真正让人心旷神怡的青海湖。
坏小子	《坏小子》是由瑞克·罗森塔尔执导，西恩·潘、吉姆·穆迪等主演的电影。
洱海	（后来听别的朋友说是坐汽船游玩 没什么意思）洱海的鱼味道鲜美，洱海中间有小树林，提供烤鱼，特别好吃，当时好几个人分食一条鱼，几分钟解决，以后觉得再没吃过那么美味的鱼了。
八大关	道路两侧绿树葱葱，是的即使是在炎热的夏季，也给八大关带来了一丝清凉。
磁器口	磁器口的石板路很有特色，气息古雅，两边有打糍粑的表演，是完全古法的。
大河内山庄	竹林的出口是 大河内山庄 ，它本是著名的武士题材电影演员大 河内 传次郎的别墅。
优购网	优购网以经营优质、名品鞋类为主，以优质、时尚为网站定位，依托投资方百丽国际的供应链、资金以及品牌优势，并涉足深层次供应链管理，参与货品研发、设计、生产、零售等各个环节，以开放、合作、共赢的经营理念与众多品牌商建立紧密合作，争做中国领先的鞋品、服饰类优质时尚商品网络购物平台。
永康街	汇聚了众多美食的永康街绝对是吃货们眼中的风水宝地！招牌煎猪肝以甜酱油煎封猪肝，外脆内嫩。
不可饶恕	由渡边谦主演，李相日导演的电影《不可饶恕》已经完成了拍摄，日前，影片公开了首款海报。
北京	北京景点其实大家都知道的太多 真正到了这里反而还不如书上看的好  不管是不是旅游旺季总是拥挤 春节期间反而最舒适 人少车少 暖气驱走严寒 故宫雪景美 后海有露天冰场 早起到皇城根儿下绕一圈 虽然寒风凛冽也觉得舒服 古都最有趣的反而不是那些空落落的名胜 而是平凡且和乐的普通市民。
戴军	戴军，男，职务：徐州市贾汪区委办公室副主任，区台侨办主任。
爱情三十六计	《爱情三十六计》是吴兵执导的爱情片，由刘桦、陈晓东、田中千绘等主演，于2010年11月9日上映。
刘冬	刘冬，出生于吉林省长春市南关区，中国内地女演员，毕业于中央戏剧学院2002级表演系本科。
大理古城	大理古城是发呆，喝咖啡，听音乐，看洱海看古城的好地方，适合我们在淡季去消磨时光，很放松。
西街	西街又称洋人街，主街道不长，人很多，拥挤着贩卖民族风服饰、汇集小店等任何旅游景点都有的那些店，不过四周有很多小巷，里面有各色酒吧、水吧、客栈、小吃店，很有特色，值得一逛。
荃湾	酒店地理位置好，出门就是荃湾线，西铁线。
法网狙击	《法网狙击》是香港电视广播有限公司于2012年出品的时装法律电视剧，由文伟鸿监制，汤健萍、曾保华编剧，谢天华、杨怡、森美、陈敏之、梁烈唯、王浩信等领衔主演。
失业保险	失业保险是指国家通过立法强制实行的，由社会集中建立基金，对因失业而暂时中断生活来源的劳动者提供物质帮助的制度。
仙瀑洞	 仙瀑洞 不仅有 黄龙洞 的磅礴大气也有瑶林仙境般的俊秀，是值得一去的景点。
大理	我想去云南的必去大理，因为大理石名传天下，天然石制的砚台既显古意，又经久耐用；白族扎染，民族特色鲜明，样式朴素美观；下关沱茶，叶形独特，味道幽香，沁人心脾；漾濞核桃营养丰富，香甜可口。
为父寻仇	“为父寻仇”最后只是成为了主角寻找自我的契机，而不是最终的目的。
地派温泉	上周末去了地派温泉，房间很不错，双床是两个1.5米的床，一家三四口住一间都没问题。
加油！东方天使	《加油！东方天使》选手，1989年10月5日出生于辽宁鞍山。
苏宁	苏宁，女，江苏省淮安人，70后女作家，诗人，江苏省作协第五届签约作家。
沙面	沙面的艺术氛围浓厚，如果你喜欢拍些小清新照片和怀旧照片，这个地方不可错过。
寒战	两位新导演的处女作还是可圈可点的，起码在剧情上有所突破，但枪战场面还远远不够，不过确实算是十年来最好的警匪港片，毕竟《无间道》已经是02年的事了，结尾的伏笔也摆明了导演拍《寒战2》的信心。
香山	爬爬山，出出汗，欣赏美丽的花草，看看名胜古迹，春季爬香山人还相对少，是个不错的选择。
壶口瀑布	首先，使用携程订票价钱便宜，到售票处将验证码一输就可以取票了，非常方便；其次，景点售票人员的态度很好，景点的停车场很大，管理井然有序，车虽然很多但不显得乱；最后，当然是 壶口瀑布 了，气势磅礴，非言语所能形容，必须得亲身感受才行。
奢侈	奢侈，汉语词汇。
大皇宫	曼谷 大皇宫 建筑群，带有浓厚的 泰国 特色，大皇宫金碧辉煌，闪闪发光，令人叹为观之！大皇宫的建筑很壮观、绚烂、奢华，我和小伙伴们都很开心。
七宝老街	七宝老街真的是个好地方，在里面可以吃到很多好吃的，品尝各色小吃、坐船泛舟水巷，品味古镇风情。
漓江风光	漓江风光真的很美，即便不是九马画山、黄布倒影，都很漂亮。
丁磊	丁磊，男，汉族，1963年10月出生，浙江宁波人，1993年10月加入中国共产党，1988年7月参加工作，研究生学历，理学硕士，高级工程师。
曾厝垵	曾厝垵选的这家旅馆叫哦啊间家庭旅馆，在网上的名气好像还挺大，所以我和老公精心钻研选择了这家旅馆，房间和图片基本一致，这点很满意，整个旅馆也很有意境，墙上有客人的留言还有精美的涂鸦，看得出主人的用心经营。
亚洲航空公司	亚洲航空公司（AirAsia），简称亚航，成立于2001年；是马来西亚第二家国际航空公司，也是亚洲地区首家低成本航空。
五花海	来到了九寨沟的核心景点--五花海，五花海被评为世界最美湖泊之一，可谓是世界级的景点，其景观自然不会让你失望，与上游的瀑布相比，五花海静得出奇，好像微风都不愿意惊扰她，湖面特别蓝，又平静得像一面镜子，只有亲眼才能感受那是多么漂亮，怪不得观景台水泄不通，赶紧找空间拍照吧！！！。
鸿门宴	鸿门宴，指在公元前206年于秦朝都城咸阳郊外的鸿门（今陕西省西安市临潼区新丰镇鸿门堡村）举行的一次宴会，参与者包括当时两支抗秦军的领袖项羽及刘邦。
断桥残雪	我喜欢许嵩的歌曲，每当 断桥残雪 这首歌放出来，我就会想到这里的景，清新明媚又婉约忧郁。
北固山	北固山充满着三国的故事,  刘备甘露寺招亲就发生在这里,  北固山的高处可以远望长江支线的美景,  大热天时找个遮阴处吹着江边的微微凉风甚是享受,  当然如果手上拿着一本三国演义的小说耗上一个下午就如同身入其境般似的.    北固山古迹丰富,  风景优美,  公园边缘也有些三国古人的陵墓,  来到镇江一定要安排过来看看.。
林俊杰	林俊杰就是神来之笔，出场都会让人忍不住笑场_黎天王王珞丹的演技很不错_基本上我这种哭点低的人是从头哭到尾，不错_值得推荐，消失爱人爱不消失。
清水湾	清水湾 属于是 雅居乐 重金打造的旅游地产，不属于传统意义上的景点，所以人少沙滩干净，这里的海滩比 海棠湾 的好太多，规划的很好，物业培训的不错，高档小区组群，已开业的莱佛士绝对是 三亚酒店 新标杆。
清华大学	清华大学实在太大，步行是看不了很多地方的，建议自己骑一辆自行车或者租借一辆去游览，这样可以节省很多时间。
尊闻堂	 尊闻堂 算起应该是武状元还武举人的家里，这里古色古香，但又由于老伯一家人在这里生活，恬静之外又增添了些人气，喜欢看古宅装饰的可不能错过。
太极1：从零开始	《太极1：从零开始》原来讲述的是朴实的农民们齐心协力抵抗“强拆”的感人故事！不像武打更不是武侠（太极的味道十分不突出咯~），不是科幻（但那部“铺铁路的机器人又真的太强大了），剧情勉强还算可以~那“白痴”如果能让“宝宝王宝强“来演肯定会好很多。
尹志平	尹志平（甄志丙）为金庸笔下《射雕英雄传》及《神雕侠侣》人物之一。
宪法广场	还有宪法广场这里风景景点以及交通都非常的便利，很值得来游览哦！。
泰迪熊	泰迪熊是由天津教育出版社发行的一本图书，作者是于浩。
圣淘沙岛	过年的时候，圣淘沙岛的酒店非常贵。
泸沽湖	虽然去 泸沽湖 途中八小时的车程加 上高 反有些难受，但在下车的那一刻瞬间满血复活！美极了，湖面倒映着蓝天白云。
